name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004
TotalRevenue,"344,877,000,000","84,006,000,000","86,592,000,000","90,544,000,000","83,735,000,000","102,228,000,000","100,151,000,000","96,765,000,000","89,235,000,000","85,422,000,000","75,830,000,000","72,131,000,000","71,796,000,000","64,767,000,000","61,855,000,000","58,415,000,000","48,554,000,000","58,146,000,000","68,706,000,000","72,402,000,000","65,706,000,000","92,374,000,000","107,851,000,000","111,222,000,000","109,658,000,000","109,243,000,000","116,513,000,000","112,669,000,000","112,810,000,000","118,047,000,000","112,118,000,000","117,068,000,000","119,920,000,000","115,575,000,000","123,412,000,000","124,562,000,000","112,260,000,000","106,836,000,000","91,732,000,000","91,860,000,000","88,025,000,000","86,051,000,000","75,755,000,000","63,882,000,000","58,222,000,000","81,073,000,000","131,567,000,000","131,419,000,000","114,302,000,000","106,703,000,000","90,703,000,000","84,896,000,000","73,480,000,000","75,500,000,000","84,254,000,000","83,127,000,000","75,964,000,000","75,496,000,000","76,435,000,000","82,644,000,000","72,157,000,000","76,300,999,569.5","70,685,000,000"
CostOfRevenue,"308,122,000,000","77,054,000,000","76,717,000,000","82,124,000,000","72,227,000,000","91,727,000,000","87,524,000,000","85,468,000,000","78,785,000,000","76,454,000,000","67,754,000,000","60,171,000,000","57,924,000,000","58,789,000,000","50,288,000,000","48,438,000,000","40,051,000,000","55,962,000,000","71,187,000,000","58,947,000,000","54,080,000,000","86,096,000,000","92,062,000,000","93,135,000,000","91,014,000,000","98,994,000,000","99,258,000,000","103,403,000,000","93,061,000,000","104,504,000,000","97,653,000,000","104,923,000,000","103,520,000,000","102,101,000,000","108,658,000,000","102,066,000,000","90,723,000,000","85,432,000,000","76,330,000,000","75,684,000,000","70,188,000,000","68,261,000,000","61,666,000,000","55,415,000,000","49,245,000,000","86,225,000,000","105,422,000,000","109,261,000,000","96,780,000,000","92,315,000,000","77,321,000,000","68,715,000,000","60,666,000,000","64,408,000,000","70,383,000,000","67,838,000,000","61,922,000,000","63,889,000,000","60,704,000,000","69,464,000,000","58,565,000,000","65,357,999,795.2","58,604,000,000"
GrossProfit,"36,755,000,000","6,952,000,000","9,875,000,000","8,420,000,000","11,508,000,000","10,501,000,000","12,627,000,000","11,297,000,000","10,450,000,000","8,968,000,000","8,076,000,000","11,960,000,000","13,872,000,000","5,978,000,000","11,567,000,000","9,977,000,000","8,503,000,000","2,184,000,000","-2,481,000,000","13,455,000,000","11,626,000,000","6,278,000,000","15,789,000,000","18,087,000,000","18,644,000,000","10,249,000,000","17,255,000,000","9,266,000,000","19,749,000,000","13,543,000,000","14,465,000,000","12,145,000,000","16,400,000,000","13,474,000,000","14,754,000,000","22,496,000,000","21,537,000,000","21,404,000,000","15,402,000,000","16,176,000,000","17,837,000,000","17,790,000,000","14,089,000,000","9,073,000,000","9,473,000,000","-5,152,000,000","26,145,000,000","22,566,000,000","17,522,000,000","14,388,000,000","13,382,000,000","16,181,000,000","12,814,000,000","11,092,000,000","13,871,000,000","15,289,000,000","14,042,000,000","11,607,000,000","15,731,000,000","13,180,000,000","13,592,000,000","10,942,999,774.3","12,081,000,000"
OperatingExpense,"13,809,000,000","4,102,000,000","3,292,000,000","3,545,000,000","2,870,000,000","4,021,000,000","3,378,000,000","3,261,000,000","3,026,000,000","4,134,000,000","3,306,000,000","9,050,000,000","10,905,000,000","3,760,000,000","9,843,000,000","10,102,000,000","9,953,000,000","3,936,000,000","6,593,000,000","8,965,000,000","8,551,000,000","5,112,000,000","9,228,000,000","10,175,000,000","12,068,000,000","6,055,000,000","9,416,000,000","5,194,000,000","8,353,000,000","5,281,000,000","4,733,000,000","4,610,000,000","4,346,000,000","4,935,000,000","4,430,000,000","7,242,000,000","7,301,000,000","8,605,000,000","10,710,000,000","7,253,000,000","7,610,000,000","9,914,000,000","9,602,000,000","4,559,000,000","4,189,000,000","-10,458,000,000","17,302,000,000","4,852,000,000","4,575,000,000","2,000,000,000","3,843,000,000","5,703,000,000","4,412,000,000","3,437,000,000","4,613,000,000","4,679,000,000","3,879,000,000","3,662,000,000","5,141,000,000","4,165,000,000","3,795,000,000","1,615,997,826.7","6,447,000,000"
	ResearchAndDevelopment,"962,000,000","306,000,000","219,000,000","225,000,000","212,000,000","314,000,000","227,000,000","237,000,000","208,000,000","260,000,000","230,000,000","220,000,000","212,000,000","280,000,000","248,000,000","243,000,000","243,000,000","297,000,000","291,000,000","252,000,000","253,000,000","363,000,000","302,000,000","274,000,000","283,000,000","428,000,000","291,000,000","305,000,000","294,000,000","416,000,000","311,000,000","289,000,000","295,000,000","404,000,000","253,000,000","249,000,000","219,000,000","422,000,000","203,000,000","180,000,000","214,000,000","-1,178,000,000","318,000,000",,,,"1,473,000,000",,"325,000,000",,,"450,000,000","272,000,000",,"401,000,000",,,,"275,000,000","248,000,000","261,000,000","-741,000,474","294,000,000"
	SellingGeneralAndAdministration,"10,493,000,000","2,831,000,000","2,429,000,000","2,881,000,000","2,352,000,000","3,162,000,000","2,829,000,000","2,781,000,000","2,588,000,000","2,953,000,000","2,750,000,000","2,394,000,000","2,412,000,000","2,912,000,000","2,856,000,000","3,227,000,000","3,106,000,000","3,090,000,000","2,896,000,000","3,076,000,000","2,894,000,000","3,426,000,000","3,350,000,000","3,755,000,000","3,434,000,000","3,861,000,000","3,566,000,000","3,661,000,000","3,587,000,000","3,698,000,000","3,709,000,000","3,459,000,000","3,689,000,000","3,706,000,000","3,516,000,000","3,749,000,000","3,364,000,000","4,301,000,000","3,701,000,000","3,433,000,000","4,093,000,000","5,532,000,000","4,306,000,000","3,953,000,000","3,693,000,000","4,557,000,000","4,058,000,000","4,444,000,000","3,969,000,000","4,880,000,000","3,843,000,000","4,120,000,000","3,778,000,000","4,648,000,000","4,126,000,000","4,679,000,000","3,413,000,000","5,549,000,000","3,254,000,000","4,165,000,000","3,795,000,000","13,452,000,871","533,000,000"
	OperatingExpense,"13,809,000,000","4,102,000,000","3,292,000,000","3,545,000,000","2,870,000,000","4,021,000,000","3,378,000,000","3,261,000,000","3,026,000,000","4,134,000,000","3,306,000,000","9,050,000,000","10,905,000,000","3,760,000,000","9,843,000,000","10,102,000,000","9,953,000,000","3,936,000,000","6,593,000,000","8,965,000,000","8,551,000,000","5,112,000,000","9,228,000,000","10,175,000,000","12,068,000,000","6,055,000,000","9,416,000,000","5,194,000,000","8,353,000,000","5,281,000,000","4,733,000,000","4,610,000,000","4,346,000,000","4,935,000,000","4,430,000,000","7,242,000,000","7,301,000,000","8,605,000,000","10,710,000,000","7,253,000,000","7,610,000,000","9,914,000,000","9,602,000,000","4,559,000,000","4,189,000,000","-10,458,000,000","17,302,000,000","4,852,000,000","4,575,000,000","2,000,000,000","3,843,000,000","5,703,000,000","4,412,000,000","3,437,000,000","4,613,000,000","4,679,000,000","3,879,000,000","3,662,000,000","5,141,000,000","4,165,000,000","3,795,000,000","1,615,997,826.7","6,447,000,000"
OperatingIncome,"22,946,000,000","2,850,000,000","6,583,000,000","4,875,000,000","8,638,000,000","6,480,000,000","9,249,000,000","8,036,000,000","7,424,000,000","4,834,000,000","4,770,000,000","2,910,000,000","2,967,000,000","2,218,000,000","1,724,000,000","-125,000,000","-1,450,000,000","-1,752,000,000","-9,074,000,000","4,490,000,000","3,075,000,000","1,166,000,000","6,561,000,000","7,912,000,000","6,576,000,000","4,194,000,000","7,839,000,000","4,072,000,000","11,396,000,000","8,262,000,000","9,732,000,000","7,535,000,000","12,054,000,000","8,539,000,000","10,324,000,000","15,254,000,000","14,236,000,000","12,799,000,000","4,692,000,000","8,923,000,000","10,227,000,000","7,876,000,000","4,487,000,000","3,908,000,000","4,788,000,000","5,306,000,000","8,843,000,000","17,306,000,000","12,947,000,000","12,388,000,000","9,539,000,000","10,478,000,000","8,402,000,000","7,655,000,000","9,258,000,000","10,610,000,000","10,163,000,000","7,945,000,000","10,590,000,000","9,015,000,000","9,797,000,000","9,327,001,947.6","5,634,000,000"
InterestExpense,"3,840,000,000","268,000,000","1,161,000,000","1,252,000,000","1,159,000,000","971,000,000","909,000,000","929,000,000","936,000,000","-232,000,000","1,011,000,000","1,295,000,000","1,112,000,000","1,115,000,000","948,000,000","770,000,000","370,000,000","519,000,000","527,000,000","466,000,000","376,000,000","430,000,000","417,000,000","505,000,000","452,000,000","470,000,000","392,000,000","379,000,000","401,000,000","379,000,000","415,000,000","411,000,000","552,000,000","287,000,000","331,000,000","360,000,000","395,000,000","227,000,000","317,000,000","191,000,000","261,000,000","4,000,000","189,000,000","400,000,000",,,"836,000,000","140,000,000","0",,,"0","0",,"0",,"0",,"0","-70,000,000","70,000,000","754,999,629.1","0"
PretaxIncome,"25,485,000,000","2,790,000,000","8,372,000,000","4,917,000,000","9,406,000,000","7,907,000,000","9,737,000,000","9,610,000,000","8,367,000,000","6,552,000,000","5,662,000,000","2,546,000,000","3,370,000,000","3,428,000,000","1,859,000,000","961,000,000","-642,000,000","-241,000,000","-9,123,000,000","5,572,000,000","5,839,000,000","2,528,000,000","8,118,000,000","9,123,000,000","8,545,000,000","5,960,000,000","8,962,000,000","5,372,000,000","13,298,000,000","12,447,000,000","12,628,000,000","9,942,000,000","15,356,000,000","11,805,000,000","12,538,000,000","14,894,000,000","16,423,000,000","11,261,000,000","5,385,000,000","8,732,000,000","9,966,000,000","4,874,000,000","4,569,000,000","5,843,000,000","5,734,000,000","-470,000,000","15,467,000,000","20,117,000,000","15,706,000,000","13,388,000,000","11,489,000,000","14,226,000,000","11,473,000,000","9,148,000,000","10,762,000,000","12,392,000,000","12,326,000,000","8,175,000,000","15,042,000,000","10,056,000,000","11,292,000,000","7,868,000,488","9,410,000,000"
TaxProvision,"9,053,000,000","1,702,000,000","2,348,000,000","1,755,000,000","3,248,000,000","2,261,000,000","3,696,000,000","3,422,000,000","2,336,000,000","2,615,000,000","1,450,000,000","904,000,000","-274,000,000","1,820,000,000","425,000,000","-319,000,000","-1,097,000,000","-1,183,000,000","-1,730,000,000","1,458,000,000","1,302,000,000","2,110,000,000","3,693,000,000","3,778,000,000","4,003,000,000","4,138,000,000","4,225,000,000","3,631,000,000","5,072,000,000","5,691,000,000","5,389,000,000","5,874,000,000","6,522,000,000","5,337,000,000","5,505,000,000","6,135,000,000","7,498,000,000","4,405,000,000","1,820,000,000","4,245,000,000","4,400,000,000","2,863,000,000","1,281,000,000","1,940,000,000","2,218,000,000","2,489,000,000","6,987,000,000","8,363,000,000","6,505,000,000","4,755,000,000","4,448,000,000","5,415,000,000","4,032,000,000","3,635,000,000","4,507,000,000","4,865,000,000","5,310,000,000","3,572,000,000","5,558,000,000","4,595,000,000","4,273,000,000","2,892,000,620","3,791,000,000"
NetIncomeContinuousOperations,"16,432,000,000","1,088,000,000","6,024,000,000","3,162,000,000","6,158,000,000","5,646,000,000","6,041,000,000","6,188,000,000","6,031,000,000","3,937,000,000","4,212,000,000","1,642,000,000","3,644,000,000","1,608,000,000","1,434,000,000","1,280,000,000","455,000,000","942,000,000","-7,393,000,000","4,114,000,000","4,537,000,000","418,000,000","4,425,000,000","5,345,000,000","4,542,000,000","1,822,000,000","4,737,000,000","1,741,000,000","8,226,000,000","6,756,000,000","7,239,000,000","4,068,000,000","8,834,000,000","6,468,000,000","7,033,000,000","8,759,000,000","8,925,000,000","6,856,000,000","3,565,000,000","4,487,000,000","5,566,000,000","2,011,000,000","3,288,000,000","3,903,000,000","3,516,000,000","-3,158,000,000","8,480,000,000","11,754,000,000","9,201,000,000","8,038,000,000","6,916,000,000","8,811,000,000","7,441,000,000","4,644,000,000","6,255,000,000","7,324,000,000","7,016,000,000","3,653,000,000","9,840,000,000","5,236,000,000","6,887,000,000","4,975,999,868","5,619,000,000"
NetIncome,"15,842,000,000","964,000,000","5,879,000,000","2,998,000,000","6,001,000,000","5,590,000,000","5,839,000,000","6,024,000,000","5,899,000,000","3,807,000,000","4,087,000,000","1,545,000,000","3,538,000,000","1,541,000,000","1,375,000,000","1,175,000,000","484,000,000","939,000,000","-7,416,000,000","3,986,000,000","4,430,000,000","595,000,000","4,463,000,000","5,307,000,000","4,509,000,000","1,781,000,000","4,677,000,000","1,737,000,000","8,176,000,000","6,728,000,000","7,139,000,000","4,063,000,000","8,719,000,000","6,500,000,000","6,976,000,000","8,662,000,000","8,780,000,000","6,790,000,000","3,463,000,000","4,393,000,000","5,481,000,000","1,961,000,000","3,247,000,000","3,822,000,000","3,488,000,000","-2,810,000,000","8,448,000,000","11,556,000,000","9,083,000,000","8,467,000,000","6,916,000,000","8,667,000,000","7,281,000,000","5,283,000,000","5,942,000,000","7,324,000,000","6,893,000,000","4,368,000,000","9,032,000,000","5,236,000,000","6,674,000,000","4,570,998,473.2","5,371,000,000"
NetIncomeCommonStockholders,"15,842,000,000","964,000,000","5,879,000,000","2,998,000,000","6,001,000,000","5,590,000,000","5,839,000,000","6,024,000,000","5,899,000,000","3,807,000,000","4,087,000,000","1,545,000,000","3,538,000,000","1,541,000,000","1,375,000,000","1,175,000,000","484,000,000","939,000,000","-7,416,000,000","3,986,000,000","4,430,000,000","595,000,000","4,463,000,000","5,307,000,000","4,509,000,000","1,781,000,000","4,677,000,000","1,737,000,000","8,176,000,000","6,728,000,000","7,139,000,000","4,063,000,000","8,719,000,000","6,500,000,000","6,976,000,000","8,662,000,000","8,780,000,000","6,790,000,000","3,463,000,000","4,393,000,000","5,481,000,000","1,961,000,000","3,247,000,000","3,822,000,000","3,488,000,000","-2,810,000,000","8,448,000,000","11,556,000,000","9,083,000,000","8,467,000,000","6,916,000,000","8,667,000,000","7,281,000,000","5,283,000,000","5,942,000,000","7,324,000,000","6,893,000,000","4,368,000,000","9,032,000,000","5,236,000,000","6,674,000,000","4,570,998,473.2","5,371,000,000"
BasicEPS,,"0.24","1.46","0.74","1.48","1.36","1.4","1.44","1.42","0.92","1","0.38","0.86","0.38","0.34","0.3","0.14","0.3","-2.34","1.26","1.4","0.24","1.4","1.68","1.44","0.56","1.5","0.56","2.6","2.12","2.28","1.3","2.8","2.08","2.24","2.78","2.84",,"1.12","1.44","1.78",,"1.06","1.24","1.14",,,"3.74","2.94",,"2.2",,"2.32",,,"2.26","2.12",,,"1.532","3.341",,
DilutedEPS,,"0.24","1.46","0.74","1.46","1.34","1.4","1.44","1.4","0.92","0.98","0.38","0.86","0.38","0.34","0.3","0.14","0.3","-2.34","1.24","1.38","0.24","1.4","1.68","1.44","0.56","1.491","0.54","2.58","2.12","2.28","1.3","2.8","2.08","2.24","2.78","2.84",,"1.12","1.44","1.78",,"1.06","1.24","1.14",,,"3.74","2.92",,"2.2",,"2.3",,,"2.26","2.1",,,"1.532","3.341",,
BasicAverageShares,,"3,953,600,000","4,008,750,000","4,050,400,000","4,076,100,000","4,113,900,000","4,145,150,000","4,154,700,000","4,152,300,000","4,137,300,000","4,124,800,000","4,106,450,000","4,077,400,000","4,050,900,000","4,027,150,000","4,000,000,000","3,586,700,000","3,178,000,000","3,163,850,000","3,152,300,000","3,146,100,000","3,150,500,000","3,166,900,000","3,161,500,000","3,143,900,000","3,136,450,000","3,134,850,000","3,156,850,000","3,154,450,000","3,141,400,000","3,133,150,000","3,132,950,000","3,114,700,000","3,115,650,000","3,119,050,000","3,108,250,000","3,081,650,000",,"3,066,296,868","3,067,019,483","3,063,250,000",,"3,063,512,046","3,063,337,266","3,060,802,222",,,"3,085,162,660","3,097,750,000",,"3,130,852,578",,"3,143,500,000",,,"3,228,800,000","3,254,900,000",,,"3,362,273,169","3,385,229,000",,
DilutedAverageShares,,"3,981,250,000","4,033,800,000","4,076,850,000","4,105,350,000","4,144,700,000","4,176,550,000","4,188,000,000","4,188,600,000","4,177,250,000","4,162,450,000","4,146,150,000","4,111,450,000","4,085,050,000","4,053,850,000","4,026,650,000","3,615,200,000","3,208,050,000","3,198,450,000","3,191,950,000","3,188,500,000","3,150,610,000","3,167,050,000","3,161,700,000","3,144,450,000","3,137,550,000","3,136,250,000","3,158,450,000","3,156,850,000","3,144,600,000","3,136,950,000","3,136,600,000","3,119,550,000","3,120,500,000","3,123,550,000","3,113,600,000","3,087,000,000",,"3,069,168,305","3,071,870,686","3,066,400,000",,"3,065,519,680","3,064,678,352","3,062,245,340",,,"3,094,529,370","3,105,700,000",,"3,142,911,609",,"3,153,250,000",,,"3,241,550,000","3,267,650,000",,,"3,372,051,082","3,388,198,000",,
Ebitda,,"12,295,000,000","16,348,000,000","12,868,000,000","16,515,000,000","15,122,000,000","15,844,000,000","15,898,000,000","14,637,000,000","12,116,000,000","13,081,000,000","10,022,000,000","12,320,000,000","11,101,000,000","8,998,000,000","7,828,000,000","5,875,000,000","5,559,000,000","3,560,000,000","10,711,000,000","10,819,000,000","7,949,000,000","13,265,000,000","16,983,000,000","16,421,000,000","12,059,000,000","13,507,000,000","13,253,000,000","17,924,000,000","16,661,000,000","16,918,000,000","13,856,000,000","19,310,000,000","15,335,000,000","16,672,000,000","18,120,000,000","20,135,000,000","14,724,000,000","11,898,000,000","12,160,000,000","13,153,000,000","8,626,000,000","9,099,000,000","9,522,000,000","7,878,000,000","-4,797,000,000","19,690,000,000","23,696,000,000","18,852,000,000","7,404,000,000","12,381,000,000","17,464,000,000","14,733,000,000","5,504,000,000","14,127,000,000","13,742,000,000","15,138,000,000","3,736,000,000","20,489,000,000","12,151,000,000","12,952,000,000","12,813,000,709.3","9,410,000,000"